TYPE CORPS;N° DE SERIE CORPS;DN;PN;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES;FOURNISSEUR CORPS;NUM CORPS
VSGC-90B;276211-1;P1: 150 P2: 350 P3: 25;P1: PN 50 P2: PN 20 P3: PN100;;;;;;;;GRAPHITE;;4;323
28-628112;F-15-221168-003-01;25;ANSI 300 RF;0,9 à 2,3 (1,7);;;;17-4 PH;STEL 6;A351 GR CF3M;;;18;324
VARIPACK;16-0147-01-1;25;200;Mini 0,25 max 0,6;ANSI 1500 RF;;;VARILOG;VARILOG N° 3;A182 GR F316L;KEVLAR/PTFE;;18;325
VARIPACK;64-9366-01-1;25;ANSI 1500RF;Mini 0,9 max 2,3;ISO PN20 à 250;;;17-4 PH;STEL 6;A182 GR F316L;KEVLAR/PTFE;;18;326
28-28212;F-23-000155;25;1500;2,3;102MM SANS BRIDES;;;A564 GR 630 H900;SOLID STELLITE;A351 GR CF3M;PTFE CARBON;RING;18;327
M.N.S.D;;;ANSI 600 STD;1.882;;;;;;ASTM A217 WC6;GRAPHITE;;5;328
FIG 320 112;;150;16;;;;;EPDM collé;INOX;FONTE;;;10;329
FIG 320 112;S/N : 10024807-18;150;16;;;;;EPDM collé;INOX;FONTE;;;10;330
FIG 320 112;S/N : 10025801-9;150;16;;;;;EPDM collé;INOX;FONTE;;;10;331
FIG 320 112;;150;16;;ANSI 150;PRA02503080PM00;;EPDM collé;Inox;fonte GG25;;;10;332
;;25;40;;;;;;;;;;9;333
CAMFLEX 2 35-35202/CM/77/8013;64-9532-01-1;40; ; ; ;;;316 STB;STEL 6;A216 GR WCC;CARBONE/PTFE;LATTYFLON 3260LM 4,5X5;18;334
;63-541502-1;50;50;26;ISO E1-E1;;316;ANSI 316 STEL E;ANSI 316 STEL E;A351 GR CF8M;;;18;335
R1;359243;80;25;;;R1LA 03 AJJL;;NELAL;329 SS;CF8M;;;25;336
L12;C0001043;80;25;;;L12A080AA;;INC 825;316 SS;CF8M;;;25;337
1110;68857;25;;;;;;;;A216 WCB;CARBONE/PTFE;;1;338
1110;94283;25;;;;;;;;A216 WCB;CARBONE/PTFE;;1;339
;;40 R;10;;;;;;;A 105;;;21;340
;;40 R;10;;;;;;;A 105;;;21;341
;;40 R;10;;;;;;;A 105;;;21;342
150VSG-90B; ;IN: 150 OUT: 200 WAT: 25;IN: 45 OUT: 28 WAT: 40;;;;VOIR FEUILLE;JOINTE; ;G17CRM05-5;GRAPHITE;;4;343
1110;68928;25;;;;;;;;A216 WCB;CARBONE/PTFE;;1;344
1110;68927;25;;;;;;;;A216 WCB;CARBONE/PTFE;;1;345
1110;10380000;25;;;;;;;;;CARBONE/PTFE;;22;346
;;65;16;;;;;;;;;;;347
CT 4550A/01;23153/10;50;;;;;;;;;;;21;348
;;80 R;10;;;;;;;A 105;PTFE VIERGE;;21;349
;;80 R;10;;;;;;;A 105;PTFE VIERGE;;21;350
;;100 R;10;;;;;;;A 105;PTFE VIERGE;;21;351
F100-40-16;;100;10;;;;;;;;;;;352
RTS 67442A;05/232841 1;100;10;;PN 1016;;;;;;;;21;353
OPTISEAL FIG 14-102;03/284319;100;10;;;PRA00901XXOPM00;INOX;EPDM;INOX;EN-GJL-250;Joint à lèvre;;10;354
FIG 320 112;;200;16;;;;;EPDM collé;inox;;;;10;355
FIG 14 102;42959;150;10;;;;INOX;EPDM;INOX 316;FONTE FT125;;JOINT A LEVRES;10;356
FIG 14 102;42959;150;10;;;;INOX;EPDM;INOX 316;FONTE FT125;;JOINT A LEVRES;10;357
L12A150AA;;150;10;;;;INOX;INOX;INOX;INOX;;;25;358
L12A150AA;;150;10;;;;INOX;INOX;INOX;INOX;;;25;359
L12A150AA;;150;10;;;;INOX;INOX;INOX;INOX;;;25;360
L12A150AA;;150;10;;;;INOX;INOX;INOX;INOX;;;25;361
L12A150AA;;150;10;;;;INOX;INOX;INOX;INOX;;;25;362
L12A150AA;;150;10;;;;INOX;INOX;INOX;INOX;;;25;363
L12;C0001044;100;25;;;L12A100AA;;INC 825;316 SS;CF8M;;;25;364
FIG 14 102;127095;200;10;;;;INOX;EPDM;INOX 316;FONTE FT125;;JOINT A LEVRES;10;365
FIG 14 102;46055;200;10;;;;INOX;EPDM;INOX 316;FONTE FT125;;JOINT A LEVRES;10;366
L1C;;200;10;;;L1C PA 08 AAJE;329 SS;EPDM;316 SS;CF8M;;;25;367
DANAIS 150;9 973 719 748 200;200;10;;T1;66e 6fb 2b;;;;;;;2;368
DANAIS 150;9973719748/200;200;10;;T1;66e 6fb 2b;;;;;;;2;369
DANAIS 150;9973719748/200;200;10;;T1;66e 6fb 2b;;;;;;;2;370
;;175;10;;;;;;;;;;;371
;;175;10;;;;;;;;;;;372
;;175;10;;;;;;;;;;;373
;;175;10;;;;;;;;;;;374
;;175;10;;;;;;;;;;;375
;;175;10;;;;;;;;;;;376
;;40;10;;;;;;;;;;;377
PS 420;;20;100;;FILET 20/27;;;;;;;;26;378
ISORIA 10B;76109407/0310;150;10;;;1 M14 3T 6K 3G XA;;XA;Fonte laquée;fonte;;;2;379
PS 420;;20;100;;FILET 20/27;;;;;;;;26;380
ISORIA 10B;76048483/320;150;10;;;2 M14 3G 6K 6 VC;;VC;;GS 370-17;;;2;381
35 - 35202;;100;ANSI 600 RF;;;;;;316 RD;A351 GR CF8M;PTFE KEVELAR;;18;382
Maxflo;;250;10;;;MTRD 11A111B;;F 316;17-4 PH;A 216 WCB;PTFE;RAINEX 788 8 MM;22;383
ISORIA 10B;;80;10;;;1 M11 3T 6K 3G XA;;XA;Inox;FT 25;;JOINT A LEVRES;2;384
L12;;100;;;;L12A100AAT;;;;;;;25;385
L12;;100;;;;L12A100AAT;;;;;;;25;386
CAMFLEX II;63-5415. 06. 1;80;ISO PN40SE;orifice 135; ;;;316 STB;LRD 316,00;A216 GR WCC;;;18;387
ISORIA 10;76109 407/0210;150;10;;;;;xa;;;;;2;388
FIG 10 102;;150;10;;;;INOX;EPDM;INOX;FONTE GG25;Joint à lèvre;;10;389
L12;;100;;;;L12A100AAT;;;;;;;25;390
Isoria 10;761091407/0110;250;10;;;1119 3T6K3GXA;;xa;;FONTE GG25;;;2;391
LW;;100;10;;;LW7LBA100AAJAT;;INCOLOY 825;316 SS;CF8M;;;25;392
NELDISC;G 111;200;ANSI 150;;;L1CMA08 AAJK;316 SS;ULTIMET;329 SS;CF8M;PTFE;;25;393
ISORIA 10B;76045403/0110;150;10;;;1 M14 3T 6K 6 XV;;XV;INOX;FONTE;;;2;394
MTV ;11571-81;200;10.25;;;MTV A5-AAD-A11 811897;;;;;;;23;395
FIG 14-343;;50;10;;;;;EPDM;;GG 25;joint à lèvre;;10;396
FIG 14 102;;50;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;397
L1C;355676;200;;;;L1CMA 08 AAJA;329 SS;;316 SS;316 SS;PTFE;;25;398
Isoria 10B;76048485/0110;80;10;;;2 M11 3G 6K6 XV;;XV;;;;;2;399
Série 1121;;100;10;;;;;NITRILE;AISI 304;GG 25;;;15;400
238288-0200-06;;200;10;;;;;;;;;;19;401
L1C;358 213;200;ANSI 150;;;L1CMA 08 PAJA;;INC 825 GR;;WCB;PTFE;;25;402
ISORIA 20;;50;10;;;3G6E6XV;;;;;;;2;403
ISORIA 20;;50;10;;;3G6E6XV;;;;;;;2;404
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;405
ISORIA 20;;50;10;;;3G6E6XV;;;;;;;2;406
ISORIA 20;;150;10;;;3G6E6XV;;;;;;;2;407
ISORIA 20;;150;10;;;3G6E6XV;;;;;;;2;408
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;409
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;410
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;411
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;412
;;15;;;;;;;;;;;21;413
;;15; ;;;;;;; ; ;;21;414
ISORIA 10;;200;10;;;3G 6K 6XV;;XV;;;;;2;415
LW;C0002379;200;25;;;LW7LBA200AAJAT;316 SS;ULTIMET;316 SS;CF8M;;;25;416
L12;C0078853;100;;;;L12A100AAT;;INCOLOY 825;316 SS;CF8M;;;25;417
35 - 35212;;100;16;230;;;;ANSI 316;ANSI 316L STEL;A 351 GR CF3M;;;18;418
LW;C0002379;200;25;;EN PN 25;LW7LBA200AAJAT;;INCOLOY 825;329 SS;CFM8;;;25;419
ISORIA 20;;150;10;;;3G6E6XV;;;;;;;2;420
ISORIA 20;;150;10;;;3G6E6XV;;;;;;;2;421
ISORIA 20;;50;10;;;3G6E6XV;;;;;;;2;422
ISORIA 20;;50;10;;;3G6E6XV;;;;;;;2;423
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;424
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;425
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;426
ISORIA 20;;100;10;;;3G6E6XV;;;;;;;2;427
ISORIA 10B;76048483/0210;350;10;;PN10 S11;2C 25 3G 6K 6VC;;XV;;;;;2;428
L1C;S0427141005VEN;200;ANSI 150;;;L1CMA 08 PAJA;329 SS;INC 825+CR;316 SS;WCB;PTFE;;25;429
ISORIA 10;76017731/0110;80;10;;;3T 6K 3G XA;;EPDM XA;INOX;FONTE;;;2;430
DANAIS 150;9 972 324 707 600;300;10;;;66E 6F B2B;;;;;;;2;431
DANAIS 150;;300;10;;;66E 6F B2B;;;;;;;2;432
DANAIS 150;9 972 324 707;250;10;;;66E 6F B2B;;;;;;;2;433
DANAIS 150;9 972 324 707;250;10;;;66E 6F B2B;;;;;;;2;434
NELDISC;362701;350;;;;L1CMA14PAJA;329 SS;INC 825+CR;316 SS;FONTE;PTFE;;25;435
GAMMA;;400;10;;;;;xv;Acier;Fonte;;;2;436
L1CMA 08 AACA;355060;200;Oct-25;;;L1CMA 08 AACA;17-4 PH;INC 825+CR;316 SS;316 SS;PTFE;;25;437
L12;;200;;;;L12A200AAT;;;;;;;25;438
;;20;;4;;;;;;A216 WCB;V-PTFE;;4;439
;;20;100;;taraudage 20/27;V6F020GA6RCPL00;;;;;;;10;440
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;441
;;20-15;64;;;;;;;;;;;442
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;443
;;20-15;64;;;;;;;;;;;444
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;445
;;20-15;64;;;;;;;;;;;446
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;447
;;20-15;64;;;;;;;;;;;448
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;449
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;450
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;451
35-35212;;25 réduit;ANSI 600;2,8;ANSI 600;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;452
35-35212;;25 réduit;ANSI 600;2,8;;;;STEL n°6;ANSI 316;A 351 GR CF3M;;;18;453
;;20;100;;taraudage 20/27;V6F020GA6RCPL00;;;;;;;10;454
28-28122;;25;100;0,5 a 1,2(0,9);EN-1092-1 B2;F-12-217061-001-1;;17-4 PH;ANSI 440 C;A351 GR CF3M;;;18;455
NELDISC;;150;ANSI 150;;ANSI 150;L1CMA06PACAF;ASTM A564GR630;INC 825+Cr;316;WCB;GRAPHITE;NELES 250023;25;456
VPZZ100ISO;;50;100;;ISO PN100;;Z20C13;Stéllité;Stéllité;G17CrMo55;Graphite;;6;457
NELDISC;;200;ANSI 150;;ANSI 150;L1CMA08PACAF;ASTM A564GR630;INC 825+Cr;316;WCB;Graphite;;25;458
VPZZ100ISO;;80;100;;ISO PN100;;Z20C13;Stéllité;Stéllité;G17CrMo55;Graphite;;6;459
NELDISC;;250;ANSI 150;;ANSI 150;L1CMA10PACAF;ASTM A564GR630;INC 825+Cr;316;WCB;Graphite;;25;460
VPZZ100ISO;;80;100;;ISO PN100;;Z20C13;Stéllité;Stéllité;G17CrMo55;Graphite;;6;461
NELDISC;;300;ANSI 150;;;L1CMA12PACAF;ASTM A564GR630;INC 825+Cr;316;WCB;Graphite;;25;462
VPZZ100ISO;;80;100;;ISO PN100;;Z20C13;Stéllité;Stéllité;G17CrMo55;Graphite;;6;463
NELDISC;;200;10;;;L1CMA08PACAF;ASTM A564GR630;INC 825+Cr;316;WCB;Graphite;;25;464
FIG:VPZZ600T1;;40;100;;;AR041378:1-1;; ;;;;;6;465
NELDISC;;200;10;;;L1CMA08PACAF;ASTM A564GR630;INC 825+Cr;316;WCB;Graphite;;25;466
FIG:VPZZ600T1;;40;100;;;AR041378:1-1;;;;;;;6;467
LW;;80;;;;LW7LBA080AAJAT;;INCOLOY 825;316 SS;CF8M;;;25;468
LW;;80;;;;LW7LBA080AAJAT;;INCOLOY 825;316 SS;CF8M;;;25;469
;;200;10;;;;;;;;;LATTY 3260 LM;18;470
REJA200AJJSTA;MA0197516;200;10;;RATIGEN PN10;;329SS;316SS;329SS;CF8M;;;25;471
35-35112;;200;10;850;ISO PN 10;35-35112;;AnSI 316 L STEL;ANSI 316;A216 GR WCC;;;18;472
;;150;10;;;;;;;;;;;473
35-35112;;200;10;850;ISO PN 10;35-35112;;AnSI 316 L STEL;ANSI 316;A216 GR WCC;;;18;474
;;150;10;;;;;;;;;;;475
NELDISC;;250;ANSI B 16;;;L1CMA 10 AAJA;329 SS;INC 825;329 SS;CF8M;PTFE;;25;476
Maxflo;;150;10;;;MTPD - 11A111E;;F 316;17-4 PH;A216 WCB;PTFE;RAINEX 788 DIAM. 8;22;477
ISORIA 10;;200;10;;;3T6K6XV;;XV;INOX;;;;2;478
L12;G0001043;80;;;;L12A080AA;;INC 825;316 SS;CF8M;;;25;479
L12;C0001043;80;;;;L12A080AA;;INC 825;316 SS;CF8M;;;25;480
;;;;;;;;;;;;;;481
Maxflo ;T5549;150;;;;;;F 316;17-14 PH;A216 WCB;PTFE;LATTY 3260 LM;22;482
Maxflo;;150;10;;;MTPD - 11A111E;;F 316;17-4 PH;A216 WCB;PTFE;;22;483
Maxflo;;150;10;;;MTPD - 11A111E;;F 316;17-4 PH;A216 WCB;PTFE;;22;484
L12A150AA;C0001048;150;25;;; ;;INCOLOY 825 (A);329 SS;CF8M; ;;25;485
REKA150AJJSTA;MA0196907;150;16;;RATINGEN PN16;;329SS;316SS;329SS;CF8M;;;25;486
NELDISC;;200;;;;LJM200 AB;316 SS;248SV/GR;316 SS;316 SS;PTFE;;25;487
;;250;10;;;;;;Inox;;PTFE/CARB;3260 LM;18;488
35 - 35202;62-5370-02-1;100;;;ANSI 600 RF;;;;316 RD;A351 GR CF8M;PTFE KEVELAR;;18;489
OPTISEAL FIG 14-102;03/284319;100;10;;;PRA00901XXOPM00;INOX;EPDM;INOX;EN-GJL-250;Joint à lèvre;;10;490
R1;359244;100;25;;;R1LA 04 AJJL;329 SS;;329 SS;CF8M;PTFE;;25;491
REKA150AJJSTA;;150;10;;;;INOX;INOX;INOX;INOX;;;25;492
FIG 14 102;114173;100;10;;;;Inox;EPDM;INOX;FONTE GG25;Joint à lèvre;;10;493
L1C;;80;10;;;L1CMA 03 AAJA;329 SS;INC 825+CR;316 SS;316 SS;;;25;494
;409430;200;10;;;L12;;;;;;K916;25;495
FIG 14 102;;100;10;;;;Inox;EPDM;INOX;FONTE GG25;Joint à lèvre;;10;496
L12;C0001049;300;25;;;L12A300AA;328 SS;INC 825;316 SS;CF8M;;;25;497
Gamma;;400;10;;;3T 6P 3G XV;;;;;;;2;498
VST-56BSE;;;;;à souder;;;X10CrMoVNb9-1/C21COATING;X19CrMoVNbN11-1;EN 10222-2 13CrMo4-5;Graphite;;4;499
Gamma;;100;10;;;;;XA;Inox;fonte GG25;;;2;500
68451A;6752802;40;;;;;;PTFE;CHROME;A105;PTFE;;21;501
RTS FIG 68451A;6 752 801;40;;;;;;PTFE;;A105;;;21;502
RTS 68451;17/2618020;40;14885;;;;;PTFE;Boule;;PTFE CARBON;;21;503
;;40;;;;;;;;;;;;504
RTS 68451;17/2618020;40;;;;;;PTFE;;;;;21;505
;;;;;;;;;;;;;;506
;;;;;;;;;;;;;;507
;;;;;;;;;;;;;;508
FIG 14 102;347934;250;10;;;;INOX;EPDM;INOX;FONTE GG25;;;10;509
FIG 14 102;347928;250;10;;;;INOX;EPDM;INOX;FONTE GG25;;;10;510
VAN044 VAP 45B/450°;;40 passage direct;100;;ISO PN 100;A182F11/STELLITE;;STELLITE;;A182F11;;;6;511
L12A400AAG;;400;10;;;;INOX;INOX;INOX;INOX;;;;512
L12A200AA;C0001047;200;EN-PN25;;;;316SS;INCOLOY825;329SS;CF8M;;;25;513
GAMMA;;600;10;;;3T 6P 3G XV;INOX Z30 C13;XV;FONTE;FONTE FT 20;;;2;514
L12A250AA;C0001048;250;25;;;;329SS;INCOLOY 825;;CF8M;316SS;;25;515
L12A250AA;C0001048;250;25;;;;329SS;INCOLOY 825;;CF8M;316SS;;25;516
L12A250AA;C0001048;250;25;;;;329SS;INCOLOY 825;;CF8M;316SS;;25;517
L12A250AA;C0001048;250;25;;;;329SS;INCOLOY 825;;CF8M;316SS;;25;518
L12A250AA;C0001048;250;25;;;;329SS;INCOLOY 825;316SS;CF8M;316SS;;25;519
Camflex II;02-4848-01-1;50;50;50;ISO PN 50;;ANSI 316;STEL n°6;ANSI 316;A216 GR WCC;;;;520
CAMFLEX II;02-4848-01-2;50;50;50;ISO PN 50;;ANSI 316;STEL n°6;ANSI 316;A216 GR WCC;;;;521
PREMISEAL 38DW-112; ;40;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;522
PREMISEAL 38DW-112;;40;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;523
PREMISEAL 38DW-112;;40;10;;;;;EPDM;;GJS-400-15;;;10;524
PREMISEAL 38DW-112;;40;10;;;;;EPDM;;GJS-400-15;;;10;525
FIG 38 102;552714;32;16;;;;Inox;EPDM;Inox;Fonte GG25;Joint à lèvre;;10;526
RAA050AS;C0001121;50;40;;;;;316SS;329SS;CF8M;;;25;527
;;80;10;;;;;;;;;;;528
FIG 14 102;;50;10;;;;Inox;EPDM;Inox 316;Fonte FT 25;;;10;529
FIG 14 102;;50;10;;;;Inox;EPDM;Inox 316;Fonte FT 25;;;10;530
FIG 14 102;;50;10;;;;Inox;EPDM;Inox 316;Fonte FT 25;;;10;531
FIG 14 102;;50;10;;;;Inox;EPDN;Inox 316;Fonte FT 25;;;10;532
FIG 14 102;;50;10;;;;Inox;EPDN;Inox 316;Fonte FT 25;;;10;533
PREMISEAL 38DW-112;;50;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;534
PREMISEAL 38DW-112;;50;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;535
PREMISEAL 38DW-112;;50;10;;;;;EPDM;;GJS-400-15;;;10;536
PREMISEAL 38DW-112;;50;10;;;;;EPDM;;GJS-400-15;;;10;537
FIG 14 102;;100;10;;;;Inox;EPDM;Inox;Fonte GG25;Joint à lèvre;;10;538
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;539
FIG 14 102;;300;10;;;;INOX;EPDM;Inox;GG 25;Joint à lèvre;;10;540
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;541
14 102;04/393299;300;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;542
FIG 14 102;;250;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;543
FIG 14 102;;250;10;;;;;EPDM;;GG 25;;;10;544
FIG 14 102;;250;10;;;;;EPDM;;GG 25;;;10;545
FIG 14 102;;250;10;;;;INOX;EPDM;INOX;GG 25;;JOINT A LEVRES;10;546
14 102;04/406369;250;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;547
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;548
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;549
;;200;10;;;;;;;;;;;550
FIG 14 102;03/356029;200;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;551
FIG 14 102;M454790;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;552
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;553
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;554
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;555
FIG 14 102;18617;200;10;;;79E03601XX0PM00;INOX;EPDM;INOX;FONTE GG25;;;10;556
14 102;99252;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;557
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;558
FIG 14 102;;300;10;;;796 036;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;559
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;560
FIG 14 102;99252;300;10;;;;INOX;EPDM;INOX;GG 25;joint à lèvre;;10;561
FIG 14 102;;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;562
FIG 14 102;;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;563
FIG 14 102;509962;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;564
FIG 14 102;;300;16;;;;416SS;EPDM;316 SS;Fonte GS;Joint à lèvre;;10;565
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;joint à lèvre;;10;566
FIG 14 102;03/356025;200;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;567
FIG 14 102;;200;10;;;;INOX;EPDM;Inox;GG 25;Joint à lèvre;;10;568
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;;JOINT A LEVRES;10;569
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;570
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;571
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;572
FIG 14 102;507969;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;573
FIG 14 102;23980;200;10;;;79E03601XX0PM00;INOX;EPDM;INOX;FONTE GG25;joint à lèvre;;10;574
L12A08AA;J56669238;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;575
L12A08AA;J56669231;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;576
L12A08AA;J56261822;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;577
L12A08AA;J56788776;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;578
L12A08AA;J56669235;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;579
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;580
VG6400 GX5CrNIMo 19-11-2 (inox);OF152511;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;581
VG6400 GX5CrNIMo 19-11-2 (inox);OF152521;400;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;582
VG6400 GX5CrNIMo 19-11-2 (inox);OF152510;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;583
VG6400 GX5CrNIMo 19-11-2 (inox);OF152511;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;584
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;585
VG6400 GX5CrNIMo 19-11-2 (inox);OF153249;80;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;586
A536 65-45-12 (FIG. 320);32W0080-D0S0SGE1M4I;80;16;;;;INOX;;INOX;;;;17;587
A536 65-45-12 (FIG. 320);32W0080-D0S0SGE1M4I;80;16;;;;INOX;;INOX;;;;17;588
Fonte (FIG. 320);F455 WM-009;350;;;;;INOX;;INOX;;;;17;589
Fonte (FIG. 320);32W0150-D0S0SGE1M4I;150;16;;;;INOX;;INOX;;;;17;590
Fonte (FIG. 320);32W0150-D0S0SGE1M4I;150;16;;;;INOX;;INOX;;;;17;591
Fonte ;20/317321050 1;350;25;;;;INOX;;INOX;;;;21;592
Fig 320-112;?;100;16;;;;INOX;;INOX;;;;17;593
INOX;;25;10;;;;;;;;;;16;594
INOX;;25;10;;;;;;;;;;16;595
INOX;;25;16;;;;;;;;;;16;596
;S4005120840. 01;350;25;;;;;;;;;;25;597
CF8M;S4005081217. 06;100;25;;;;;;;;;;25;598
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;599
VG6400 GX5CrNIMo 19-11-2 (inox);OF152511;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;600
Fonte (FIG. 320);F455 WM-009;350;;;;;INOX;;INOX;;;;17;601
INOX;3040000639-40;32;63;;;;;;;;;;16;602
INOX;3040000639-40;32;63;;;;;;;;;;16;603
INOX;KLG-20/12;32;63;;;;;;;;;;16;604
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;605
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;606
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;607
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;608
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;609
VG6400 GX5CrNIMo 19-11-2 (inox);OF152517;200;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;610
VG6400 GX5CrNIMo 19-11-2 (inox);OF153248;80;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;611
Fonte ;20/317321030 2;250;25;;;;INOX;;INOX;;;;21;612
Fonte ;20/317321030 3;250;25;;;;INOX;;INOX;;;;21;613
